2017-10-25 01:32:23,718; [http-nio-8080-exec-7]; ERROR; 
2017-10-25 01:32:40,482; [http-nio-8080-exec-7]; ERROR; 
2017-10-25 01:32:40,496; [http-nio-8080-exec-1]; ERROR; 
2017-10-25 01:32:53,732; [http-nio-8080-exec-1]; ERROR; 
2017-10-25 01:32:57,537; [http-nio-8080-exec-5]; ERROR; 
2017-10-25 01:33:11,262; [http-nio-8080-exec-8]; ERROR; 
2017-10-25 01:33:23,693; [http-nio-8080-exec-6]; ERROR; 
2017-10-25 01:33:53,909; [http-nio-8080-exec-10]; ERROR;
2017-10-25 01:34:23,751; [http-nio-8080-exec-7]; ERROR; 
2017-10-25 01:34:54,264; [http-nio-8080-exec-1]; ERROR; 
2017-10-25 01:35:24,335; [http-nio-8080-exec-2]; ERROR; 
2017-10-25 01:35:54,590; [http-nio-8080-exec-3]; ERROR; 
2017-10-25 01:36:24,579; [http-nio-8080-exec-9]; ERROR; 
2017-10-25 01:36:55,020; [http-nio-8080-exec-10]; ERROR; 
2017-10-25 01:37:25,378; [http-nio-8080-exec-6]; ERROR; 
2017-10-25 01:37:55,397; [http-nio-8080-exec-7]; ERROR; 
2017-10-25 01:38:25,495; [http-nio-8080-exec-5]; ERROR; 
2017-10-25 01:38:55,479; [http-nio-8080-exec-3]; ERROR; 
2017-10-25 01:39:25,577; [http-nio-8080-exec-4]; ERROR; 
2017-10-25 01:39:55,669; [http-nio-8080-exec-11]; ERROR; 
2017-10-25 01:40:01,751; [http-nio-8080-exec-7]; ERROR; 
2017-10-25 01:40:25,853; [http-nio-8080-exec-6]; ERROR; 
2017-10-25 01:40:32,767; [http-nio-8080-exec-1]; ERROR; 
2017-10-25 01:40:55,798; [http-nio-8080-exec-3]; ERROR; 
2017-10-25 01:41:25,864; [http-nio-8080-exec-11]; ERROR; 
